1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
12,0,0,0,0,0,0,0,22,0,27,0,42,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,24,0,1,0
0,0,0,46,0,0,1,1,0,0,0,6,0,18,0,16,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,1,0,0,0,11,0,0
15,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,21,2,0,0,0,6,9,7,2,0,0,33,0,0,0,0,0,0,1,0,4.4,0
34,0,0,0,2,0,36,0,0,0,0,6,0,18,0,0,1,0,0,26,0,0,12,0,6,0,0,1,0,0,0,5,0,0,0,0,0,0
13,2,0,0,3,0,0,3,8,5,0,0,0,0,11,0,0,0,0,4,0,0,22,0,5,0,29,0,0,0,28,0,10,31,3,0,0,0
0,0,0,3,0,0,2,7,0,1,4,0,0,4,1,4,10,17,0,0,0,18,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
0,8,0,0,0,0,0,7,0,0,1,0,11,0,1,0,0,13,0,0,0,3,0,0,0,0,0,19,0,0,0,0,0,2,1,0,0,0
13,2,0,0,3,0,0,3,8,5,0,0,0,0,11,0,0,0,0,4,0,0,22,0,5,0,29,0,0,0,28,0,10,31,3,0,0,0
0,0,15,13,1,0,10,6,0,24,0,1,18,0,9,0,3,10,0,1,0,10,21,0,29,0,0,0,10,0,26,0,0,0,27,25,77,29.1
0,0,0,2,0,6,8,0,0,135,0,0,1,4,0,0,0,15,51,0,0,58,3,47,64,1,1,22,0,0,22,19,0,0,1,26,3,4.4
78,73,9,0,0,2,19,62,0,5,9,0,30,14,0,0,32,1,17,44,5,24,27,10,0,39,4,5,19,43,8,33,53,1,39,0,54,41.8
0,38,0,26,17,57,107,46,0,19,9,5,51,32,0,29,32,132,0,103,0,86,75,106,25,27,28,0,22,41,31,5,46,2,51,0,135,35.3
64,0,139,109,25,80,67,57,0,74,3,13,58,3,20,30,12,108,182,23,23,34,48,33,148,19,58,67,78,18,62,13,27,33,37,19,37,67.3
170,24,90,35,99,56,0,41,65,106,296,33,166,52,23,0,0,2,83,87,72,15,72,91,47,71,46,81,90,28,131,29,67,0,30,176,87,20.6
361,77,82,167,22,42,49,72,343,65,101,41,84,91,11,46,78,42,102,215,127,55,27,154,60,169,17,72,201,160,57,37,39,153,309,26,51,56.3
22,82,27,180,139,9,74,17,27,171,117,65,190,37,31,71,0,8,4,163,373,143,38,164,126,72,167,163,28,41,54,74,130,45,6,4,29,38.9
3,98,25,214,180,101,3,262,178,31,235,127,141,132,228,51,180,15,71,133,193,402,55,165,55,26,256,161,238,25,41,130,85,90,126,82,70,55.5
78,84,105,63,232,93,200,68,48,153,24,20,164,125,28,198,321,214,208,103,7,113,244,188,293,124,51,39,191,449,253,176,155,122,141,43,60,34.3
259,42,239,79,122,253,578,128,245,204,89,131,77,35,325,82,192,156,141,11,25,261,285,277,32,38,49,199,139,123,130,301,173,58,171,225,107,58.6
328,53,102,174,151,88,207,136,164,149,52,339,37,0,117,316,222,251,194,141,39,205,34,247,446,72,127,178,3,206,80,105,36,92,66,120,36,12.4
128,165,359,217,211,159,411,137,3,126,43,65,104,113,30,30,47,159,68,45,94,329,213,78,29,108,225,60,139,27,75,29,46,143,91,101,52,93.8
0,190,14,26,22,164,270,67,50,91,227,53,155,7,125,16,45,206,106,116,67,31,123,28,224,39,28,130,64,50,185,14,218,27,23,35,68,29.7
54,9,10,80,67,45,360,212,134,101,21,56,39,28,369,263,93,239,113,62,15,173,65,6,140,6,111,208,221,188,189,4,175,86,100,24,526,18.6
235,162,339,164,189,120,168,569,48,59,34,119,371,87,99,74,192,103,368,17,236,42,9,94,233,81,94,47,186,52,7,88,76,68,467,60,61,108.3
58,43,73,171,164,76,239,92,161,29,479,19,58,59,32,170,44,212,34,60,296,13,90,102,18,93,120,89,46,22,6,68,37,4,151,197,35,16.3
90,110,210,306,76,121,96,46,70,206,137,56,21,119,71,3,92,15,57,115,160,42,59,48,0,40,92,16,81,83,104,241,1,280,18,133,5,175.4
66,11,37,21,86,70,95,62,262,117,31,408,282,70,923,571,153,90,498,21,6,426,81,103,204,207,22,137,1,2,151,40,144,140,82,143,85,3.8
0,0,110,18,0,279,11,106,69,176,14,49,30,89,19,48,0,16,13,8,330,4,310,329,594,14,40,39,261,50,0,91,22,0,0,94,0,0
0,0,46,47,282,86,101,0,13,17,2,27,34,0,41,0,3,212,208,0,41,52,7,1,70,7,11,0,6,18,0,0,252,21,0,105,8,7.9
0,42,21,0,0,0,0,0,0,0,13,0,0,0,17,27,0,152,13,17,11,0,63,0,106,0,0,6,0,14,0,0,35,0,0,0,0,0
5,4,0,0,0,0,0,0,0,0,0,0,15,0,56,0,0,0,5,0,53,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
