1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9.763623,1.749951,3.501872,7.043667,2.016662,1.852108,1.863482,3.616154,4.16642,2.430809,4.313047,2.982268,8.584126,2.991284,4.147595,2.827142,2.753136,1.683238,2.271458,3.135386,2.244721,2.028043,2.255171,1.984453,2.163073,1.68229,2.148872,2.970396,1.728673,1.655809,1.739993,4.230269,2.146704,1.712738,4.396783,3.679452,1.92392,1.813049
5.331328,1.89395,3.469665,8.433257,2.203421,2.207446,2.209615,2.099057,4.17731,2.717804,4.786764,3.325761,3.557602,4.727862,3.87576,4.712814,3.966812,4.256609,2.664481,4.135062,2.334718,2.517152,2.334611,2.203937,3.214175,1.848702,2.390571,5.498906,1.869976,1.819463,2.063227,3.028974,2.218143,1.762424,3.15461,5.026403,1.923875,1.863852
11.77341,3.486583,4.195526,7.4733,2.121171,2.035296,1.954741,2.021692,4.145913,2.680514,4.439129,3.990775,3.852033,3.941541,3.362643,2.964939,3.748147,4.269256,2.597375,4.226341,2.440745,3.68914,3.054201,8.585243,11.95826,1.822049,2.451456,18.51389,1.786552,1.793584,1.900994,2.777646,1.983645,1.589656,3.321291,3.441406,2.310143,1.729443
7.84634,2.420228,2.341209,2.858947,4.199362,1.815489,3.761131,2.992108,5.334581,5.326286,2.803868,3.599979,3.231438,4.566599,3.251843,2.553163,3.141408,2.534518,2.211856,4.14986,2.067735,1.702646,7.96376,1.387735,3.470496,1.383941,8.360078,1.468503,1.369174,2.411183,1.733606,1.851402,0.9213793,2.209678,1.512908,1.286164,1.178491,2.364616
1.366521,1.543215,2.238286,6.711148,4.513969,1.561042,2.476265,3.366,6.149978,16.18889,2.420905,2.606667,3.123588,2.890087,3.495823,2.037704,2.610999,2.648014,1.970208,1.75257,2.205329,3.439623,13.12639,1.328361,2.084754,1.307581,12.52196,1.495069,1.410067,1.470117,3.816281,1.57125,8.627625,3.081311,3.497341,1.338191,1.206899,1.265342
1.330942,1.344797,2.565479,2.170204,3.602815,1.295945,2.66194,12.49987,4.301696,4.271064,2.163217,2.141501,2.564366,3.08924,3.305608,7.578794,2.85878,2.116625,1.723513,1.582001,2.584883,4.435963,1.354577,1.210014,2.095402,1.33644,2.40701,1.229964,2.176705,1.753562,1.541583,1.425629,1.003809,3.211039,1.571435,1.23963,1.432839,1.49365
3.313654,3.850182,5.951059,3.471006,2.916266,2.37116,20.54591,6.166006,2.998407,5.049985,4.373122,3.706151,5.825501,3.660853,4.532664,6.008849,3.744769,4.715874,3.976372,5.903948,7.57206,3.789964,2.805857,12.67343,4.788129,7.187437,4.791839,5.055515,2.324616,3.04429,4.226915,2.352761,2.409107,4.450166,3.919298,4.6705,15.11651,2.660093
4.643888,4.264756,7.475527,2.977461,2.940493,2.728907,23.51733,22.45431,5.238639,5.19324,5.030317,4.205482,6.152236,4.527445,2.92877,5.049679,6.669119,4.071012,3.759162,6.09854,4.575446,3.038672,17.22145,4.794519,19.14052,8.345356,7.894363,6.026561,2.218988,4.286522,3.846963,2.614312,3.501358,2.641399,2.863506,5.493436,18.23745,4.596684
10.51164,6.418892,6.688582,9.716352,16.34791,4.409629,32.21184,5.381036,4.619299,36.87499,14.03585,6.801114,10.8145,8.447175,6.140502,8.507816,6.095662,42.92242,5.969255,7.41291,8.404399,13.62413,10.2265,4.790648,10.96752,2.94637,4.898203,9.078672,17.25653,3.569513,7.166348,4.148758,5.393833,3.29176,27.3766,53.86057,19.71727,24.57437
13.51276,30.99451,7.331742,23.17998,9.384303,35.91858,8.093177,12.26069,3.536061,18.04966,15.21849,5.171215,6.340707,30.80217,8.236523,9.031612,30.35338,13.88165,12.71736,11.98779,13.39466,21.48018,12.95103,43.42961,13.04893,39.86149,8.751826,21.54035,14.09132,4.168823,25.55866,54.28899,4.935705,5.45236,18.2616,4.767656,13.43351,53.32838
