1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
23,0,0,2,0,0,0,0,0,0,3,0,65,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0
3,0,0,9,0,3,0,0,0,0,1,0,0,10,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,12,0,0,0,9,0,0
6,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,10,10,0,18,0,7,1,0,2,0,0,27,0,0,0,6,0,0,0,6,0,0
5,4,0,0,0,0,0,0,0,0,14,12,5,12,3,0,0,0,0,36,0,0,23,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,4,4,0,3,16,20,0,0,3,0,6,1,5,0,0,1,0,0,30,0,8,0,12,0,3,0,0,0,22,45,43,0,0,0
2,0,3,16,0,0,3,26,0,7,0,2,0,14,9,27,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,35
0,25,17,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,40,0,10,0,0,0,0,13,22,0,0,4,0,0,8,5,0,3,0
13,0,0,0,4,4,0,3,16,20,0,0,3,0,6,1,5,0,0,1,0,0,30,0,8,0,12,0,3,0,0,0,22,45,43,0,0,0
23,3,3,6,1,0,0,0,0,13,6,0,13,4,14,7,4,22,0,0,0,3,52,0,44,0,0,0,3,0,2,0,3,0,16,2,91,43
32,0,0,1,1,39,10,0,0,35,1,0,0,19,0,0,27,25,6,0,1,81,37,43,5,16,11,8,18,0,4,19,0,23,51,28,8,20
151,45,12,0,0,3,6,53,0,1,3,0,15,0,0,0,23,4,3,66,21,99,35,2,1,44,3,12,16,25,99,29,0,0,46,0,104,10
6,3,19,47,53,86,116,34,0,5,44,30,43,13,0,104,90,55,0,92,0,104,41,45,66,83,14,0,15,4,42,26,0,20,105,0,52,106
6,21,85,140,51,114,153,63,0,77,32,88,137,9,11,30,2,58,140,63,113,56,24,2,80,12,3,105,68,32,35,9,48,19,50,78,86,81
123,67,161,160,161,83,0,12,13,77,75,32,111,27,68,45,7,4,57,52,55,28,73,6,17,80,61,23,53,15,87,64,53,4,63,75,227,112
111,33,109,88,60,13,25,274,117,138,309,20,20,120,32,109,93,81,64,157,55,48,117,129,41,101,28,85,84,138,72,21,51,173,107,98,73,172
46,115,0,289,190,0,182,29,106,239,53,76,111,59,109,112,60,35,35,84,125,73,104,203,4,130,266,148,7,135,36,58,67,67,0,10,92,91
68,65,40,157,120,81,9,317,115,31,111,64,217,180,307,17,76,49,45,95,106,107,68,127,56,31,400,154,36,78,50,13,15,139,113,69,109,59
79,54,62,93,149,82,80,410,32,108,76,62,138,66,46,154,63,283,203,71,68,74,192,308,70,23,66,91,85,73,107,76,122,379,197,5,41,88
155,77,138,171,111,165,120,325,393,207,158,117,101,66,324,85,155,348,66,27,23,136,67,269,61,61,16,132,115,56,81,70,143,119,102,145,149,117
173,53,6,128,64,54,51,137,90,108,144,144,101,6,130,193,94,313,192,121,54,103,44,177,391,74,132,152,24,24,74,93,31,48,34,151,132,3
51,230,104,132,60,227,354,24,111,184,102,28,230,93,70,60,49,88,85,42,108,237,108,83,19,57,172,190,55,12,20,23,109,44,77,31,223,280
31,121,163,29,25,156,193,14,9,143,98,76,55,33,149,41,50,155,25,194,90,53,49,50,141,91,81,29,119,9,277,59,113,14,162,43,25,114
43,39,6,24,52,24,198,127,20,42,28,8,22,79,251,107,59,191,124,83,6,283,121,89,101,26,143,198,391,157,312,87,71,140,85,45,164,13
