1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9.243345,2.138541,3.266514,4.911355,2.638248,3.197002,2.127195,2.738484,3.485506,2.369537,5.072683,2.603673,5.550909,2.769222,4.122713,2.463567,3.312295,2.553067,2.531006,2.875558,1.660894,1.614885,2.335212,1.96827,1.770756,1.464468,1.619184,2.403495,1.464468,1.464468,1.529653,9.491056,2.416201,2.169887,4.103266,4.821458,2.320217,1.99158
7.748672,2.305934,3.638607,6.151348,2.993847,3.68172,2.881234,2.295117,2.512954,2.540309,5.026584,2.883255,2.713658,4.894556,4.531012,3.072613,4.81381,5.435556,2.8411,3.589518,1.922482,1.853683,5.491087,2.082499,4.06419,1.602165,1.851965,2.629523,1.602162,1.602164,1.946396,2.9078,2.282981,2.49054,3.734118,6.376287,2.459134,2.180841
7.3721,2.627213,4.731236,5.988177,2.929702,3.624268,2.531104,2.453591,2.620637,2.741148,4.852314,5.733165,3.031552,4.295322,3.749314,2.786518,4.421921,6.073312,3.078104,4.27809,1.803635,3.651344,2.526767,3.980232,7.133647,1.647608,1.777813,17.5982,1.647607,1.647609,1.712804,2.839296,2.745505,2.788489,4.418832,6.559855,3.145018,2.622476
25.71815,4.898747,5.302313,3.258496,3.692479,2.42827,3.904202,3.217904,4.046708,4.264076,4.430144,7.547606,4.484756,10.69518,5.231252,2.726323,4.410628,4.170853,2.481159,8.751483,3.790904,2.352998,3.115875,2.537474,3.455227,2.503135,8.606012,3.156793,2.392826,3.842822,2.943265,2.982518,7.209229,6.066526,3.827239,4.769526,2.591017,5.658422
2.532712,3.198023,4.615016,3.187364,4.477436,2.494702,2.740968,4.367775,5.262276,15.70291,3.237477,5.487012,4.554747,6.725405,6.61445,2.648686,4.470226,5.50954,2.633432,5.160513,3.798633,2.283143,7.617373,2.487625,4.098672,2.453958,21.33289,2.928524,3.23307,3.68263,3.626125,2.80605,9.426928,12.99265,7.86345,4.925586,2.596351,7.488031
2.103183,2.460201,5.072488,2.485678,2.970393,1.930415,2.356594,17.30862,3.083122,5.179364,7.047519,4.246032,3.550202,13.13361,5.422177,8.196003,4.366493,3.675774,1.946781,2.907763,12.79692,1.434695,1.462759,1.77191,2.766013,1.860751,3.075735,1.985321,1.675574,5.251331,2.032444,1.959557,3.0844,5.427173,4.531534,6.657005,1.889084,5.042981
3.310882,6.608693,10.31226,5.103603,5.734365,2.787603,20.77283,13.91465,2.548478,6.983213,6.794098,3.192768,5.137133,4.922457,4.381481,6.907384,3.969524,9.253743,4.845866,7.231496,3.117842,5.895344,2.943529,10.91312,6.524696,5.023659,4.537744,5.936012,4.065376,3.51516,5.804589,3.059859,3.515304,5.380929,6.530463,6.92414,11.89329,4.863368
16.89945,7.43217,14.43308,4.466367,6.26767,2.988272,17.13346,27.26618,2.551828,5.371689,5.392211,3.856284,6.297401,5.759792,3.269172,6.981664,7.698017,8.316859,4.520647,8.165453,3.353335,4.046872,27.22071,4.745064,24.4178,7.315227,7.761649,5.567611,5.904709,4.259966,6.709639,4.147251,4.380974,4.401684,4.090797,3.586731,13.32897,4.383053
11.67628,10.26422,12.06169,5.762972,16.02336,5.858142,9.995686,5.002182,3.80044,40.0551,14.31776,5.160465,23.75281,13.6852,8.089383,13.89855,13.47171,28.61129,6.314834,9.081951,18.27758,16.26454,19.70972,4.688595,28.91179,3.246344,3.929834,11.62706,31.55509,4.70967,13.00893,6.118253,5.723132,5.393919,23.99133,50.82774,27.40777,28.53585
11.12003,19.08638,13.97375,31.21186,18.82042,35.04176,17.2665,7.147576,6.705531,16.30745,6.288174,4.700927,8.872551,46.77098,7.351285,10.83306,72.78853,33.67221,9.52482,8.562298,9.315079,39.71716,7.543519,65.17814,17.32155,44.77791,16.83241,16.33109,14.04485,5.014297,22.28741,60.0109,3.604584,16.90013,44.67461,27.62769,26.16964,36.25608
105.8883,34.80671,11.1026,5.013839,16.04032,23.08149,17.62717,29.96326,9.54656,28.78625,7.526291,5.266006,50.28311,4.170059,27.37209,16.93795,29.55115,9.370987,4.026078,38.90867,18.45754,32.72629,33.1545,17.8229,5.009794,28.32799,24.86715,18.72064,6.54983,22.58868,48.57465,28.53181,29.34386,6.897944,22.87503,5.759645,48.01742,30.16607
33.32372,14.62871,25.50509,13.06329,47.31303,42.8188,49.01572,40.49891,13.84472,56.67513,18.93078,23.00509,86.59121,17.14858,10.17587,39.48172,91.52341,58.65922,13.95167,93.19305,19.97813,31.98884,45.49132,43.01539,34.79626,14.47736,10.78445,5.597054,13.96882,26.12488,15.4391,12.71307,39.86064,15.91926,66.76531,6.850011,107.8475,90.22154
57.23731,43.35284,133.2212,161.4026,73.54565,46.25597,63.80434,61.15121,22.86567,21.63961,76.68121,65.12916,115.026,29.62755,32.95905,27.61117,19.23094,103.2085,105.6139,77.28922,158.2831,42.80048,52.96671,16.01201,21.51902,57.08921,34.24119,50.59725,59.84105,53.86496,80.41777,17.20977,19.93112,27.86226,58.5788,96.43484,88.25077,91.5575
70.00611,46.12346,69.32404,167.822,109.6734,98.13529,9.569097,52.04836,103.6872,89.28414,98.98776,72.7896,165.308,109.0162,88.91148,63.09087,88.65253,32.17229,43.29505,124.9484,36.8839,45.83489,34.37325,73.66412,42.94972,40.84971,52.02728,25.54968,51.13612,66.24124,57.69895,76.4789,70.21248,12.313,72.95726,107.8699,113.0041,32.7453
189.0771,44.60346,83.43985,108.7388,42.41545,28.19587,97.59954,169.7191,138.4849,93.10123,144.2967,41.78342,36.61847,62.81458,45.59311,72.68826,171.4668,139.3589,128.066,152.4522,117.1508,78.22647,84.01703,75.87891,45.91246,162.2801,45.78769,94.53294,81.57603,58.40907,63.63085,27.16564,139.7731,126.6637,74.12977,106.7628,53.56222,110.3562
26.37768,152.0385,63.67303,286.0445,80.11607,68.17583,109.239,33.774,73.67296,124.4392,145.7907,55.12402,102.6439,56.55077,97.02232,99.56992,145.9227,26.97846,36.76791,96.1329,77.675,95.18836,80.51711,76.95109,33.40939,88.55617,180.0712,86.99512,67.74303,123.1789,35.29922,108.6603,55.48064,73.45844,29.38371,15.36914,80.99522,95.15136
79.00053,94.95726,77.86085,238.8684,152.0249,42.38511,95.62975,228.7207,72.10977,45.02412,130.1229,68.2053,124.271,55.36787,247.0699,44.26222,85.217,96.47276,151.4135,56.09812,70.35366,221.2711,75.45654,112.6143,64.97685,49.79568,151.4313,98.74079,73.15894,135.0783,78.47189,57.95206,32.5661,124.4556,98.63492,127.3118,140.1222,103.241
64.39648,61.49973,47.14099,62.36845,106.1129,109.8183,87.39588,210.1176,35.96447,198.5207,93.90662,110.4408,175.8865,56.88137,37.2495,200.5264,85.42719,79.57888,159.222,164.6356,35.85692,91.65642,279.3679,216.876,82.53262,65.55125,38.96642,92.53794,137.5637,165.9846,196.134,94.17726,176.4508,211.1092,203.4664,123.8163,40.16351,60.84578
91.96031,111.8736,189.9496,154.1244,122.5954,138.0237,196.8363,193.253,203.3032,163.7508,302.7547,157.1279,80.04674,82.90219,322.9914,138.2786,179.8759,51.54943,137.343,97.04607,35.31576,234.94,94.71011,193.2685,100.7683,121.2543,38.13117,113.1899,74.72607,51.22635,31.55507,140.9006,96.69521,112.3274,159.4308,181.1138,283.3616,73.45625
198.3063,16.4649,63.36663,117.8922,27.76321,47.32012,49.34117,84.85567,159.0455,41.20675,19.5285,127.738,278.4256,56.17905,69.74819,55.89773,116.8346,232.0631,143.7334,81.91379,77.03871,116.6998,99.0188,243.1172,255.6491,63.21068,151.8437,186.7095,31.11843,53.32602,113.8594,250.8652,19.30391,51.73694,134.368,144.1927,110.387,51.25045
219.6265,170.1947,120.2909,185.8065,251.6758,277.1324,383.9857,41.12646,63.11459,213.0596,53.09383,69.52986,84.25188,120.0963,61.59528,92.07233,107.7181,95.18786,109.073,88.31482,103.6891,190.9237,118.8822,78.9836,60.51716,42.69793,215.0986,139.286,171.6338,77.44795,50.39065,77.36895,104.0755,43.47736,185.4725,122.144,235.6334,261.6719
79.05842,70.71384,111.5868,103.4069,14.66605,76.18997,105.2748,70.74428,42.02975,93.50735,91.56343,84.99769,62.85675,80.47945,51.36611,35.07634,150.9193,92.87641,93.4043,181.204,104.8647,89.43108,34.30286,35.03311,158.4137,72.52985,33.86251,77.3718,114.5652,26.354,316.4773,73.59789,57.91087,23.92302,67.31961,58.22105,129.9689,76.05344
104.4463,83.78402,40.71801,106.9567,38.0899,36.89213,265.1163,119.8996,34.69221,30.55398,46.61355,39.00753,13.52878,73.67805,182.2069,165.5707,131.1068,153.4943,165.751,118.0247,87.51904,144.5864,87.85197,44.37742,92.72462,37.75648,107.7374,108.6319,236.2408,129.4848,190.9789,131.4272,96.71917,178.9771,91.76398,58.05678,112.1824,34.18532
126.5366,42.72559,148.4587,86.40672,165.0175,173.3674,89.15337,154.3695,67.18295,50.07501,114.2748,52.768,200.8809,166.3875,62.96221,99.60396,109.5236,183.935,191.2422,55.55158,61.69436,52.32725,48.71373,115.7379,149.5488,57.882,72.02401,78.28772,71.64499,62.0268,33.36051,108.4239,80.49003,88.30849,123.6347,80.19608,97.36893,76.7074
127.4524,60.59942,46.2107,147.7446,77.2529,168.9347,130.9801,79.17677,129.386,84.68576,208.8488,20.81799,68.09011,63.94312,84.23726,30.54462,88.47447,151.7053,49.15532,106.1874,161.4826,40.40464,8.651513,129.2473,62.09927,56.73362,179.6793,43.19962,58.90002,26.89319,22.90029,46.28917,67.04563,32.47359,78.46567,52.95185,83.34349,45.6121
61.35489,108.5256,102.2568,124.6689,61.65992,81.1068,47.89537,99.21183,104.5847,40.30228,115.3958,67.5487,119.9481,51.08435,85.3233,44.89827,140.5257,43.53704,28.2947,140.5667,103.773,29.36564,44.90642,148.6291,52.88518,48.48036,26.5499,18.36004,61.44643,105.8001,212.783,155.3237,21.8452,93.84813,51.43745,79.74508,62.54286,59.29119
30.85268,1.780794,17.2636,11.08961,154.5156,108.8129,98.32687,16.94817,18.42562,102.6182,63.3844,90.87139,65.70624,2.746884,309.6872,61.47026,66.77363,30.20348,112.2788,25.686,16.54549,166.9138,106.8933,113.1117,76.716,93.18767,48.66568,110.0917,42.34892,34.68052,42.18737,28.66401,49.36234,96.36388,70.60712,75.47977,50.09016,15.8295
4.593571,7.165272,147.4018,113.9826,27.21048,187.1331,7.203292,32.2155,69.53271,181.5438,75.24313,44.59443,99.33914,136.911,9.110436,60.03591,12.12205,117.8835,69.9603,9.112155,255.4541,23.8769,180.4822,176.5062,210.6181,16.60697,136.9786,80.88161,124.4369,65.80408,7.175044,118.5916,67.647,5.530234,26.74405,47.47758,58.09615,16.15737
5.655381,8.279635,112.7016,32.47294,117.353,53.16105,53.18667,29.09089,82.04601,8.381946,141.7472,30.28933,77.09068,3.963405,11.80309,2.811922,14.12536,48.71758,130.8156,14.89049,29.99396,15.92927,40.4467,12.80201,44.54835,42.40825,54.85266,3.412018,4.406394,36.10344,8.917141,3.964776,38.63533,18.04316,10.64789,21.57383,145.095,17.64736
7.514682,20.9048,15.95284,8.371962,11.5905,15.24775,10.79942,7.509474,10.40126,12.07553,12.78143,11.66066,5.549352,6.026868,18.6911,97.53999,18.79099,86.70671,45.65072,88.44442,11.11059,9.417646,60.30094,12.58082,191.4008,5.631754,8.382498,113.9997,5.477637,49.96338,7.459453,5.315092,47.43059,45.07763,11.30089,26.11481,171.868,8.362885
2.877253,5.804203,2.40256,4.027207,2.884481,40.31892,3.886401,7.947866,2.819863,4.279499,5.094696,2.546012,6.904997,8.725835,29.95291,2.671903,3.331505,8.226301,4.246768,2.479079,4.689898,3.325649,1.919415,1.761679,1.870319,8.447148,3.328555,1.808668,2.153391,2.663308,2.574171,17.99314,1.764734,1.778764,2.701833,9.068289,1.894682,2.36875
1.58894,3.64987,1.758591,2.365494,1.628542,3.014739,2.671183,4.506142,1.628133,3.317186,3.075313,2.079473,2.461709,2.348817,3.268697,1.682811,4.611197,4.229341,2.098528,1.302583,4.174301,15.41635,1.20003,1.191263,1.199102,2.690072,17.49558,1.515934,1.410825,1.333094,1.696569,1.701432,1.313749,1.324157,1.683098,1.288011,10.3556,1.666303
1.05276,2.244168,1.23367,1.736639,1.146863,1.974707,1.503087,4.970151,1.141993,2.147235,2.021484,1.299857,1.710486,1.685549,6.389678,1.156014,2.614503,10.15483,1.352672,0.8551705,1.210228,0.9721436,0.8415423,0.7905702,0.8408738,1.04439,0.9897222,0.7681413,0.9589343,0.9170604,1.12824,1.209742,1.094293,1.090135,1.096002,1.066249,1.166199,1.375896
7.327106,1.107335,2.975099,1.431316,1.852821,2.031303,2.182652,1.346769,1.729968,1.624927,2.409141,1.63008,1.111191,1.299943,1.316338,1.136497,4.334006,1.13585,1.364514,1.293566,0.9194704,0.9881759,1.221674,1.372422,1.047058,1.399056,1.103945,1.0121,1.027019,2.08561,1.019496,0.9957007,1.178099,1.349681,1.690834,2.19624,3.800023,2.249865
1.391971,0.6585844,1.848558,0.8357734,1.010804,1.303763,1.212798,0.8084997,0.998726,0.9257786,1.227467,0.9517459,0.7762347,0.7750887,0.7485791,0.7452081,2.414548,0.6651903,0.8030658,0.7385634,0.7795734,0.5476745,0.8899258,0.7909904,0.6012978,0.8156976,0.6537201,0.5812208,0.6037993,1.058096,0.5854336,0.8523717,0.644227,0.6246585,0.9086237,0.7760322,1.94283,1.27996
2.027728,1.026348,3.200066,2.293308,1.563337,2.339999,1.804041,1.194067,1.678683,1.364791,2.304719,1.386398,1.043684,1.054605,1.13455,0.9858415,1.847674,0.96182,1.157015,1.008169,1.345948,0.8368791,1.578636,1.131666,0.9065317,1.179707,0.8975568,0.8274513,0.851889,1.494156,0.8416221,0.8389522,0.9724125,0.9274428,1.246691,1.239554,2.046104,1.705595
